sub,run,story_id,dur_run,dur_story,diff
04,18,story_18,274.42699999999996,274.48,0.053000000000054115
04,19,story_19,263.601,263.648,0.047000000000025466
04,1,story_1,406.441,406.416,0.024999999999977263
04,20,story_20,240.171,240.224,0.05299999999999727
04,21,story_21,393.51599999999996,393.488,0.027999999999963165
04,22,story_22,345.232,345.232,0.0
04,23,story_23,322.57,322.608,0.038000000000010914
04,24,story_24,315.657,315.68,0.023000000000024556
04,25,story_25,304.862,304.896,0.033999999999991815
04,26,story_26,295.007,295.024,0.016999999999995907
04,27,story_27,284.802,284.848,0.04599999999999227
04,28,story_28,274.898,274.928,0.029999999999972715
04,29,story_29,265.45300000000003,265.504,0.05099999999998772
04,2,story_2,352.565,352.576,0.011000000000024102
04,30,story_30,240.56,240.624,0.06399999999999295
04,31,story_31,379.229,379.232,0.0030000000000427463
04,32,story_32,335.818,335.84,0.02199999999999136
04,33,story_33,321.59,321.6,0.010000000000047748
04,34,story_34,310.815,310.832,0.016999999999995907
04,35,story_35,304.78200000000004,304.816,0.03399999999993497
04,36,story_36,296.407,296.432,0.025000000000034106
04,37,story_37,288.37399999999997,288.416,0.04200000000003001
04,38,story_38,275.59799999999996,275.632,0.03400000000004866
04,39,story_39,269.694,269.728,0.033999999999991815
04,3,story_3,319.98,320.0,0.01999999999998181
04,40,story_40,255.488,255.552,0.06399999999999295
04,41,story_41,367.993,368.0,0.007000000000005002
04,42,story_42,332.275,332.304,0.028999999999996362
04,43,story_43,320.179,320.192,0.013000000000033651
04,44,story_44,308.944,308.976,0.031999999999982265
04,45,story_45,301.251,301.264,0.013000000000033651
04,46,story_46,298.358,298.4,0.04199999999997317
04,47,story_47,288.944,288.976,0.031999999999982265
04,48,story_48,275.72799999999995,275.76,0.03200000000003911
04,49,story_49,273.356,273.392,0.036000000000001364
04,4,story_4,319.168,319.184,0.016000000000019554
04,50,story_50,256.21799999999996,256.272,0.05400000000003047
04,51,story_51,352.596,352.608,0.012000000000000455
04,52,story_52,323.071,323.088,0.016999999999995907
04,53,story_53,324.581,324.608,0.026999999999986812
04,54,story_54,308.37399999999997,308.4,0.02600000000001046
04,55,story_55,300.65,300.672,0.022000000000048203
04,56,story_56,298.849,298.88,0.03100000000000591
04,57,story_57,289.95500000000004,290.0,0.04499999999995907
04,58,story_58,276.928,276.976,0.04800000000000182
04,59,story_49,273.387,273.392,0.0049999999999954525
04,5,story_5,307.564,307.584,0.01999999999998181
04,60,story_50,256.318,256.272,0.04599999999999227
04,6,story_6,290.915,290.96,0.04499999999995907
04,7,story_17,279.969,280.0,0.03100000000000591
04,8,story_49,273.38599999999997,273.392,0.006000000000028649
04,9,story_9,258.72,258.768,0.047999999999944976
05,10,story_10,239.93,240.0,0.06999999999999318
05,11,story_11,398.347,398.336,0.010999999999967258
05,12,story_12,351.705,351.712,0.007000000000005002
05,13,story_13,323.722,323.744,0.022000000000048203
05,14,story_14,318.959,318.992,0.03300000000001546
05,15,story_15,307.693,307.712,0.019000000000005457
05,16,story_16,294.456,294.496,0.03999999999996362
05,17,story_17,279.97,280.0,0.029999999999972715
05,18,story_18,274.427,274.48,0.05299999999999727
05,19,story_19,263.601,263.648,0.047000000000025466
05,1,story_1,406.441,406.416,0.024999999999977263
05,20,story_20,240.17000000000002,240.224,0.053999999999973625
05,21,story_21,393.51500000000004,393.488,0.027000000000043656
05,22,story_22,345.232,345.232,0.0
05,23,story_23,322.572,322.608,0.036000000000001364
05,24,story_24,315.657,315.68,0.023000000000024556
05,25,story_25,304.861,304.896,0.03500000000002501
05,26,story_26,294.99699999999996,295.024,0.027000000000043656
05,27,story_27,284.802,284.848,0.04599999999999227
05,28,story_28,274.89799999999997,274.928,0.03000000000002956
05,29,story_29,265.452,265.504,0.05200000000002092
05,2,story_2,352.56600000000003,352.576,0.009999999999990905
05,30,story_30,240.561,240.624,0.06299999999998818
05,31,story_31,379.22900000000004,379.232,0.002999999999985903
05,32,story_32,335.817,335.84,0.022999999999967713
05,33,story_33,321.59000000000003,321.6,0.009999999999990905
05,34,story_34,310.815,310.832,0.016999999999995907
05,35,story_35,304.781,304.816,0.03499999999996817
05,36,story_36,296.408,296.432,0.02400000000000091
05,37,story_37,288.37399999999997,288.416,0.04200000000003001
05,38,story_38,275.598,275.632,0.033999999999991815
05,39,story_39,269.695,269.728,0.03300000000001546
05,3,story_3,319.979,320.0,0.021000000000015007
05,40,story_40,255.48799999999997,255.552,0.06400000000002137
05,41,story_41,367.993,368.0,0.007000000000005002
05,42,story_42,332.275,332.304,0.028999999999996362
05,43,story_43,320.17900000000003,320.192,0.012999999999976808
05,44,story_44,308.94399999999996,308.976,0.03200000000003911
05,45,story_45,301.24,301.264,0.02400000000000091
05,46,story_46,298.35900000000004,298.4,0.04099999999993997
